enum_variant_pattern_on_integer_scrutinee_admits	1	E0308x2,nocodex1	-	-	-
enum_variant_value_into_scalar_let_admits	1	E0308x1,nocodex1	-	-	-
explicit_deref_field_borrow_through_refvar_unkeyed_admits	1	E0506x1,nocodex1	-	-	-
field_base_temp_built_before_sibling_run	0	-	0	0	k=3 seq=126 
field_read_through_ref_to_box_refused	0	-	0	0	
field_write_through_param_local_escape_admits	1	E0597x1,nocodex1	-	-	-
fn_item_pointer_call_where_static_admits	1	nocodex2	-	-	-
fnitem_to_fnptr_array_elem_admits	1	E0308x1,nocodex1	-	-	-
fnitem_to_fnptr_array_elem_admits__control_foo	0	-	0	0	
fnptr_assign_named_to_elided_admits	1	E0308x1,nocodex1	-	-	-
fnptr_call_result_region_param_reads_static_refused	0	-	0	18	
fnptr_elided_param_call_arg_admits	1	E0308x1,nocodex1	-	-	-
fnptr_elided_param_struct_literal_admits	1	E0308x1,nocodex1	-	-	-
free_fn_outparam_ref_store_no_dangle_deposit_admits	1	E0597x1,nocodex1	-	-	-
generic_mutref_pair_local_borrow_escape_admits	1	E0597x1,nocodex1	-	-	-
generic_mutref_pair_local_borrow_escape_admits__derivecopy	1	E0597x1,nocodex1	-	-	-
generic_ref_typevar_ordering_mlir_verifier_refused	0	-	0	0	
generic_struct_impl_ref_eq_compares_addresses_run	0	-	0	0	
generic_struct_impl_ref_eq_compares_addresses_run__copy	0	-	0	0	
generic_type_param_two_regions_first_wins_refused	0	-	0	6	
generic_unbounded_typevar_reuse_after_array_literal_admits	1	E0382x1,nocodex1	-	-	-
generic_unbounded_typevar_reuse_after_tuple_literal_admits	1	E0382x1,nocodex1	-	-	-
impl_fn_return_stack_env_dangles	0	-	0	0	
impl_method_ret_longer_region_under_header_bound_refused	0	-	0	0	
impl_method_ret_renamed_header_binder_refused	0	-	0	0	
index_place_through_refmut_never_drops_old	0	-	0	0	n=111 
let_borrow_of_call_temp_inner_slot_admits	1	E0716x1,nocodex1	-	-	-
let_double_ref_str_annotation_refused	0	-	0	0	
letelse_or_pattern_takes_else	0	-	0	0	
letelse_ref_pattern_binding_undefined_refused	0	-	0	0	
let_impl_trait_annotation_unchecked	1	E0562x2,nocodex1	-	-	-
let_impl_trait_annotation_unchecked__paramposition	1	E0277x1,nocodex1	-	-	-
let_mutref_annotation_to_meet_struct_refused	0	-	0	9	
let_ref_bind_annotated_refused	0	-	0	0	
let_ref_struct_pattern_irrefutable_refused	0	-	0	0	
let_ref_struct_pattern_irrefutable_refused__copy	0	-	0	0	
lifereg_container_elem_read_admits	1	E0621x1,nocodex1	-	-	-
lifereg_derefwrite_descent_stops_at_deref_admits	1	E0621x1,nocodex1	-	-	-
lifereg_field_reborrow_deposit_unread_admits	1	E0621x1,nocodex1	-	-	-
lifereg_slice_elem_field_store_admits	1	E0621x1,nocodex1	-	-	-
local_ref_binding_escape_through_out_param_admits	1	E0597x1,nocodex1	-	-	-
loop_holder_realias_alternating_refuses	0	-	0	0	
loop_holder_realias_referent_read_after_refuses	0	-	0	0	
loop_init_before_break_refuses	0	-	0	7	
loop_push_no_later_use_dangle_not_carried_admits	1	E0597x1,nocodex1	-	-	-
loop_second_iteration_mut_alias_through_retargeted_ref_admits	1	E0499x1,nocodex1	-	-	-
match_addrof_scrutinee_default_payload_loan_unrooted_admits	1	E0499x1,nocodex1	-	-	-
match_arm_nested_binder_shadow_double_drop	0	-	0	0	
method_autoderef_double_ref_option_infer_refused	0	-	0	0	
method_bare_recv_mut_resv_shared_arg_admits	1	E0502x1,nocodex1	-	-	-
method_bare_recv_mut_resv_shared_arg_admits__derivecopy	1	E0502x1,nocodex1	-	-	-
method_where_fn_bound_on_impl_param_refused	0	-	0	0	
mutptr_region_param_elided_let_arg_refused	0	-	0	0	
operator_operand_owner_after_sibling_exit_leak	0	-	0	0	r=5 seq=26 
option_replace_ref_store_no_flow_summary_admits	1	E0597x1,nocodex1	-	-	-
param_ref_struct_cast_after_addr_of_reads_slot_run	0	-	0	0	
param_ref_struct_cast_after_addr_of_reads_slot_run__copy	0	-	0	0	
pattern_enum_payload_ref_owner_move_admits	1	E0505x1,nocodex1	-	-	-
promoted_literal_call_arg_refused	0	-	0	0	
ptr_coercion_call_arg_pointee_region_admits	1	E0521x1,nocodex1	-	-	-
ptr_coercion_cast_door_elided_let_region_admits	1	nocodex4	-	-	-
ptr_coercion_generic_struct_pointee_region_admits	1	nocodex3	-	-	-
ptr_coercion_struct_literal_field_region_admits	1	nocodex2	-	-	-
ptr_coercion_tail_return_region_admits	1	nocodex2	-	-	-
rcdyn_borrow_arg_no_vtable	1	E0277x1,nocodex1	-	-	-
refcell_interior_push_block_local_dangle_admits	1	E0597x1,nocodex1	-	-	-
ref_pair_eq_without_impl_admits	1	E0369x1,nocodex1	-	-	-
ref_pair_eq_without_impl_admits__derivecopy	1	E0369x1,nocodex1	-	-	-
ref_pair_eq_without_impl_admits__g03	1	E0369x1,nocodex1	-	-	-
ref_pair_nonprim_tuple_eq_compares_addresses_run	0	-	0	0	
ref_pair_nonprim_tuple_eq_compares_addresses_run__copy	0	-	0	0	
ref_pattern_nested_in_tuple_binding_undefined_refused	0	-	0	0	
ref_pattern_nested_in_tuple_binding_undefined_refused__copy	0	-	0	0	
ref_to_dyn_ref_type_parse_refused	0	-	0	0	
ref_to_slice_ref_param_unsized_refused	0	-	0	0	
ref_typearg_eq_impl_missing_refused	0	-	0	0	
ref_typearg_eq_impl_missing_refused__eqbound	0	-	0	0	
return_array_lit_of_moved_locals_double_drop	0	-	0	0	n=11 
rpit_dyn_fn_kind_unchecked	1	E0525x1,E0594x1,nocodex1	-	-	-
rpit_dyn_fn_kind_unchecked__control_fnmut	0	-	0	7	
self_assign_refused_as_moved	0	-	0	0	
self_call_in_return_kills_param_drops	0	-	0	0	
self_literal_local_borrow_pins_impl_region_admits	1	E0597x1,nocodex1	-	-	-
setter_mutref_field_store_after_outer_set_rehomed_admits	1	E0597x1,nocodex1	-	-	-
setter_mutref_field_store_after_outer_set_rehomed_refused	0	-	0	0	
slice_pattern_arm_binding_extra_drops	0	-	0	0	
sliceref_read_of_local_array_says_dangling	0	-	0	0	
static_arg_pins_shared_callee_region_refused	0	-	0	0	
