id	logos_cc	logos_rc	logos_out	rustc_cc	rust_rc	rust_out
m01	0	0	k=1 n=112	0	0	k=1 n=12
m02	0	0	k=3 n=2112	0	0	k=3 n=21
m03	0	0	k=3 n=31234	0	0	k=3 n=3412
m04	0	0	k=1 n=12	0	0	k=1 n=12
m05	0	0	k=2 n=21	0	0	k=2 n=21
t01	DIAG	-		0	0	k=1 n=12
x01	0	0	k=2 n=2	0	0	k=2 n=21
x02	0	0	k=3 n=21	0	0	k=3 n=21
x03	0	0	k=2 n=2	0	0	k=2 n=21
x04	DIAG	-		0	0	k=1 n=12
x05	0	0	k=2 n=2	0	0	k=2 n=231
