var.bc_fieldassign_variance_legal_shapes.In.@0=Co	2
var.bc_fieldassign_variance_legal_shapes.M.@0=Co	2
var.bc_fieldassign_variance_legal_shapes.Out.@0=Co	2
var.bc_fieldassign_variance_no_bound_fail.H.@0=Co	2
var.bc_fieldassign_variance_wrong_bound_fail.H.@0=Co	2
var.bc_letann_lt_static_fail.Foo.@0=Co	2
var.bc_letann_lt_static_ok.Foo.@0=Co	2
var.bc_letelide_lt_carry_fail.Ref.@0=Co	2
var.bc_letelide_lt_carry_ok.Ref.@0=Co	2
var.bc_ltargdecl_lifetime_arg_arity_match.Foo.@0=Co	2
var.bc_ltargdecl_lifetime_arg_arity_match.Foo.@1=Co	2
var.bc_ltargdecl_selfref_enum_prepass::Ast.@0=Co	2
var.bc_ltbindresv_ordinary_binder_name.Foo.@0=Co	2
var.bc_ltcallmeet_callee_binder_meet.FnCtxt.@0=Co	2
var.bc_ltcallmeet_callee_binder_meet.FnCtxt.@1=Co	2
var.bc_ltcallmeet_callee_binder_meet.Pair.@0=Co	2
var.bc_ltcallmeet_expected_loss_twins.Holder.@0=Co	2
var.bc_ltcallmeet_invariant_binder_no_meet.FnCtxt.@0=Co	2
var.bc_ltcallmeet_invariant_binder_no_meet.FnCtxt.@1=Inv	2
var.bc_ltimplhdr_self_lifetime_args_from_the_header.FixedGreeter.@0=Co	2
var.bc_ltimplhdr_self_lifetime_args_from_the_header.Foo.@0=Co	2
var.bc_ltimplhdr_self_lifetime_args_from_the_header.Keep.@0=Co	2
var.bc_ltregslot_dyn_field_coerced_arg.A.@0=Co	2
var.bc_ltscope_impl_legal_shapes.H.@0=Co	2
var.bc_ltscope_impl_legal_shapes.Pair.@0=Co	2
var.bc_ltscope_undeclared_name_fail.H.@0=Co	1
var.bc_ltscope_wrong_direction_callsite_fail.H.@0=Co	2
var.bc_ltscope_wrong_direction_fail.H.@0=Co	1
var.bc_ltunmentbind_legal_shapes.H.@0=Co	2
var.bc_ltunmentbind_renamed_binder_hole.Holder.@0=Co	2
var.bc_ltunmentbind_two_unrelated_binders.Holder.@0=Co	2
var.bc_mcallvar_legal_twins.P.@0=Co	2
var.bc_mcallvar_legal_twins.P.@1=Co	2
var.bc_mcallvar_legal_twins.Ref.@0=Co	2
var.bc_mcallvar_legal_twins.Ref2.@0=Co	2
var.bc_mcallvar_legal_twins.Ref2.@1=Co	2
var.bc_mcallvar_legal_twins.S.@0=Co	2
var.bc_mcallvar_legal_twins.SR.@0=Co	2
var.bc_objlt_enum_lt::E.@0=Co	2
var.bc_objlt_enum_lt_fail::E.@0=Co	2
var.bc_objlt_impl_self_fail.W.@0=Co	1
var.bc_objlt_impl_self.W.@0=Co	2
var.bc_objlt_struct_lt_fail.W.@0=Co	2
var.bc_objlt_struct_lt.W.@0=Co	2
var.bc_objlt_struct_where_fail.W.@0=Co	2
var.bc_objlt_struct_where.W.@0=Co	2
var.bc_recv_self_lt_generic_admit.P.@0=Co	2
var.bc_recv_self_lt_invariant_fail.Foo.@0=Co	2
var.bc_recv_self_lt_invariant_ok.Foo.@0=Co	2
var.bc_self_type_elided_lt_admit::C.@0=Co	2
var.bc_self_type_enum_lt_match::C.@0=Co	2
var.bc_self_type_lt_args_match.F.@0=Co	2
var.bc_self_type_lt_args_match.F.@1=Co	2
var.bc_slitfat_dst_field_fail.Holder.@0=Co	2
var.bc_slitfat_dst_field.Holder.@0=Co	2
var.bc_slitfat_dyn_field.B.@0=Co	2
var.bc_slitfat_dyn_field_fail.B.@0=Co	2
var.bc_slitfat_push_arg_fail.Flag.@0=Co	2
var.bc_slitfat_push_arg.Flag.@0=Co	2
var.bc_slitfat_slice_field_fail.S.@0=Co	2
var.bc_slitfat_slice_field.S.@0=Co	2
var.bc_slitfat_str_field_fail.Flag.@0=Co	2
var.bc_slitfat_str_field.Flag.@0=Co	2
var.bc_slitfat_str_let_fail.Flag.@0=Co	2
var.bc_slitfat_str_let.Flag.@0=Co	2
var.bc_slitgen_outlives_fail.Thing.@0=Co	2
var.bc_slitgen_outlives.Thing.@0=Co	2
var.bc_slitgen_ref_field_fail.Thing.@0=Co	2
var.bc_slitgen_ref_field.Thing.@0=Co	2
var.bc_slitmint_slice_local_elided.V.@0=Co	2
var.bc_slitmint_slice_local_fail.V.@0=Co	2
var.bc_slitmint_slice_local.V.@0=Co	2
var.bc_stfacts_legal_twins.H.@0=Co	2
var.bc_stfacts_legal_twins.SR.@0=Co	2
var.bc_structfldlt_declared_field_lifetime.Holder.@0=Co	2
var.bc_structfldlt_declared_field_lifetime.W.@0=Co	2
var.bc_structfldlt_undeclared_field_lifetime.W.@0=BiVar	1
var.bc_structlit_field_lt_static_fail.Foo.@0=Co	2
