id	logos_cc	logos_rc	logos_out	rustc_cc	rust_rc	rust_out
y11	0	0	k=2 n=2	0	0	k=2 n=12
y12	0	0	k=2 n=2	0	0	k=2 n=21
y13	0	0	k=2 n=92	0	0	k=2 n=921
