capretesc	impl_fn_return_stack_env_dangles	CC=0 DIAG=0	RUN=139	errs=5	
capretesc	generic_drop_body_calling_closure_param_corrupts_callers_closure	CC=0 DIAG=0	RUN=139	errs=2	definitely lost: 0 bytes
capretesc	bc_objlt_str_literal	CC=0 DIAG=0	RUN=0	errs=2	
both F1 SKIPPED_TWO_PROBES_ONE_PROCESS
both F3 SKIPPED_TWO_PROBES_ONE_PROCESS
both F4 SKIPPED_TWO_PROBES_ONE_PROCESS
both F5 SKIPPED_TWO_PROBES_ONE_PROCESS
both F7 SKIPPED_TWO_PROBES_ONE_PROCESS
both F8 SKIPPED_TWO_PROBES_ONE_PROCESS
both F9 SKIPPED_TWO_PROBES_ONE_PROCESS
both R2 SKIPPED_TWO_PROBES_ONE_PROCESS
both R3 SKIPPED_TWO_PROBES_ONE_PROCESS
both R5 SKIPPED_TWO_PROBES_ONE_PROCESS
both R6 SKIPPED_TWO_PROBES_ONE_PROCESS
both boxed_move_closure_fat_capture_env_overflow SKIPPED_TWO_PROBES_ONE_PROCESS
both closure_owned_dyn_capture SKIPPED_TWO_PROBES_ONE_PROCESS
both boxed_escaping_fnonce_capture_double_free SKIPPED_TWO_PROBES_ONE_PROCESS
both closure_fnonce_cond_call_untaken_leak SKIPPED_TWO_PROBES_ONE_PROCESS
both closure_fnonce_call_in_loop_multi_free SKIPPED_TWO_PROBES_ONE_PROCESS
both impl_fn_return_stack_env_dangles SKIPPED_TWO_PROBES_ONE_PROCESS
both generic_drop_body_calling_closure_param_corrupts_callers_closure SKIPPED_TWO_PROBES_ONE_PROCESS
both bc_objlt_str_literal SKIPPED_TWO_PROBES_ONE_PROCESS
